================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B4_dual_encoder/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9482 RMSE=0.9361 Spearman=0.9211 N=66543
  PCC  | mean=0.7784  median=0.7895  weighted_mean=0.7801  std=0.0782
  RMSE | mean=0.9055  median=0.8722  weighted_mean=0.9046
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9134  RMSE=1.0623  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
6    breast                         6387   0.9374    0.9064   0.9886   0.7486
7    colorectal                     4400   0.9436    0.9172   0.9749   0.7470
8    endometrium                     853   0.9496    0.9178   0.8963   0.6789
9    esophagus                      2468   0.9505    0.9273   0.8886   0.6710
10   glioma                         3628   0.9547    0.9208   0.8869   0.6816
11   kidney                         1793   0.9452    0.9217   0.9598   0.7458
12   leukemia_other                  319   0.9430    0.9207   1.0005   0.7458
13   liver                          1364   0.9331    0.8929   0.9739   0.7568
14   lung_NSC                       7885   0.9493    0.9228   0.9032   0.6869
15   lung_small_cell                5743   0.9455    0.9071   0.9273   0.7121
16   lymphoma_Burkitt                511   0.9611    0.9167   0.8199   0.6364
17   lymphoma_DLBCL                  492   0.9560    0.9228   0.8884   0.6825
18   lymphoma_Hodgkin                170   0.9453    0.8921   0.8999   0.7028
19   lymphoma_other                  763   0.9354    0.8876   1.0485   0.7503
20   medulloblastoma                 340   0.9708    0.9329   0.7319   0.5619
21   melanoma                       4331   0.9463    0.9072   0.9295   0.7202
22   mesothelioma                    642   0.9424    0.9064   0.9692   0.7453
23   multiple_myeloma               1506   0.9388    0.9004   1.0198   0.7611
24   neuroblastoma                  1429   0.9456    0.9160   0.9323   0.7130
25   osteosarcoma                    827   0.9509    0.9216   0.8886   0.6812
26   other                           170   0.9586    0.9173   0.7408   0.6024
27   ovary                          3750   0.9478    0.9220   0.9201   0.6886
28   pancreas                       2945   0.9482    0.9208   0.9231   0.7180
29   prostate                        514   0.9543    0.9158   0.8737   0.6796
30   soft_tissue                    1363   0.9456    0.9167   0.9663   0.6918
31   stomach                        2474   0.9329    0.9046   1.0526   0.7871
32   thyroid                        1185   0.9557    0.9195   0.8776   0.6916
33   upper_aerodigestive            1301   0.9486    0.9171   0.8651   0.6603
34   urinary_tract                  1951   0.9595    0.9277   0.8200   0.6305

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9471, 0.9492]  RMSE=[0.9286, 0.9434]
