================================================================================
Phase 6 Generalization Report | model=cdr_baseline
ckpt: data/model/cdr_baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 3.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9332 RMSE=1.0606 Spearman=0.9027 N=66543
  PCC  | mean=0.7078  median=0.7191  weighted_mean=0.7078  std=0.1010
  RMSE | mean=1.0150  median=0.9869  weighted_mean=1.0173
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9161  RMSE=1.0467  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
19   lymphoma_other                  763   0.9156    0.8536   1.2029   0.8801
20   medulloblastoma                 340   0.9625    0.9190   0.8676   0.6430
21   melanoma                       4331   0.9239    0.8812   1.0943   0.8059
22   mesothelioma                    642   0.9301    0.8821   1.0497   0.7931
23   multiple_myeloma               1506   0.9153    0.8730   1.1816   0.8634
24   neuroblastoma                  1429   0.9239    0.8916   1.1379   0.8313
25   osteosarcoma                    827   0.9358    0.8991   1.0170   0.7563
26   other                           170   0.9543    0.9103   0.7975   0.6352
27   ovary                          3750   0.9341    0.9039   1.0366   0.7654
28   pancreas                       2945   0.9369    0.9058   1.0147   0.7738
29   prostate                        514   0.9415    0.8944   0.9827   0.7761
30   soft_tissue                    1363   0.9379    0.9098   1.0349   0.7369
31   stomach                        2474   0.9131    0.8812   1.1942   0.8771
32   thyroid                        1185   0.9446    0.9048   0.9587   0.7425
33   upper_aerodigestive            1301   0.9311    0.8960   1.0107   0.7397
34   urinary_tract                  1951   0.9491    0.9144   0.9270   0.7132

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9318, 0.9346]  RMSE=[1.0514, 1.0693]
