================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/gdgn/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2353.8s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9100 RMSE=1.2260 Spearman=0.8799 N=66543
  PCC  | mean=0.6505  median=0.6675  weighted_mean=0.6481  std=0.1213
  RMSE | mean=1.1506  median=1.0962  weighted_mean=1.1517
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8612  RMSE=1.6558  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
180  180                 382   0.7204    0.6919   0.7782   0.6223         -
181  181                 399   0.6825    0.6888   1.6168   1.2085         -
182  182                 397   0.6444    0.6778   0.8946   0.7188         -
183  183                 401   0.8035    0.8097   1.0017   0.8108         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9083, 0.9116]  RMSE=[1.2157, 1.2365]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9100 RMSE=1.2260 Spearman=0.8799 N=66543
  PCC  | mean=0.9124  median=0.9135  weighted_mean=0.9073  std=0.0144
  RMSE | mean=1.2074  median=1.1773  weighted_mean=1.2224

--- 每折明细 ---
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.8948    0.8764   1.4169   0.9541
1    B-cell_ALL                      679   0.9260    0.8911   1.2466   0.8766
2    CML                             994   0.8856    0.8878   1.4999   0.9580
3    Ewings_Sarcoma                  512   0.9161    0.8750   1.2416   0.9059
4    T-cell_ALL                     1176   0.9225    0.8761   1.1666   0.8712
5    bile_duct                       172   0.9322    0.9068   1.1025   0.8532
6    breast                         6387   0.8847    0.8415   1.3149   0.9606
7    colorectal                     4400   0.9034    0.8777   1.2585   0.9440
8    endometrium                     853   0.9198    0.8864   1.1219   0.8248
9    esophagus                      2468   0.9087    0.8816   1.1933   0.8658
10   glioma                         3628   0.9275    0.8921   1.1068   0.8342
11   kidney                         1793   0.9094    0.8800   1.2300   0.9305
12   leukemia_other                  319   0.9117    0.8693   1.3842   1.0050
13   liver                          1364   0.9030    0.8601   1.1623   0.8718
14   lung_NSC                       7885   0.9154    0.8881   1.1642   0.8617
15   lung_small_cell                5743   0.9038    0.8601   1.2118   0.9065
16   lymphoma_Burkitt                511   0.9307    0.8636   1.1331   0.8620
17   lymphoma_DLBCL                  492   0.9248    0.8656   1.1764   0.8807
18   lymphoma_Hodgkin                170   0.9132    0.8516   1.1485   0.8746
19   lymphoma_other                  763   0.8964    0.8347   1.3877   1.0233
20   medulloblastoma                 340   0.9375    0.9012   1.0528   0.7734
21   melanoma                       4331   0.8876    0.8440   1.3334   0.9525
22   mesothelioma                    642   0.9059    0.8695   1.2171   0.8993
23   multiple_myeloma               1506   0.8972    0.8497   1.3548   0.9661
24   neuroblastoma                  1429   0.8941    0.8690   1.2900   0.9335
25   osteosarcoma                    827   0.9212    0.8820   1.1082   0.8038
26   other                           170   0.9291    0.8838   0.9656   0.7172
27   ovary                          3750   0.9097    0.8813   1.1972   0.8757
28   pancreas                       2945   0.9194    0.8935   1.1334   0.8566
29   prostate                        514   0.9160    0.8722   1.1456   0.8779
30   soft_tissue                    1363   0.9211    0.8900   1.1773   0.8398
31   stomach                        2474   0.8920    0.8618   1.3324   0.9764
32   thyroid                        1185   0.9299    0.8952   1.0856   0.8328
33   upper_aerodigestive            1301   0.9135    0.8775   1.1296   0.8277
34   urinary_tract                  1951   0.9312    0.8975   1.0697   0.7935

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9083, 0.9116]  RMSE=[1.2157, 1.2365]
