Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
NCI-H522,NCIH522_LUNG,ACH-000343,NCI-H522
NCI-H524,NCIH524_LUNG,ACH-000816,NCI-H524
NCI-H526,NCIH526_LUNG,ACH-000767,NCI-H526
NCI-H596,NCIH596_LUNG,ACH-000628,NCI-H596
NCI-H647,NCIH647_LUNG,ACH-000378,NCI-H647
NCI-H650,NCIH650_LUNG,ACH-000945,NCI-H650
NCI-H661,NCIH661_LUNG,ACH-000853,NCI-H661
NCI-H69,NCIH69_LUNG,ACH-000358,NCI-H69
NCI-H747,NCIH747_LARGE_INTESTINE,ACH-000403,NCI-H747
NCI-H82,NCIH82_LUNG,ACH-000355,NCI-H82
NCI-H838,NCIH838_LUNG,ACH-000416,NCI-H838
NCI-H841,NCIH841_LUNG,ACH-000292,NCI-H841
NCI-H929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000050,NCI-H929
NCI-N87,NCIN87_STOMACH,ACH-000427,NCI-N87
NIH:OVCAR-3,NIHOVCAR3_OVARY,ACH-000001,OVCAR-3
NMC-G1,NMCG1_CENTRAL_NERVOUS_SYSTEM,ACH-000200,NMC-G1
NOMO-1,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000168,NOMO-1
NUGC-3,NUGC3_STOMACH,ACH-000911,NUGC-3
NUGC-4,NUGC4_STOMACH,ACH-000674,NUGC-4
OAW28,OAW28_OVARY,ACH-000116,OAW-28
OAW42,OAW42_OVARY,ACH-000704,OAW-42
OCI-AML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000113,OCI-AML2
OCI-AML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000336,OCI-AML3
OCUM-1,OCUM1_STOMACH,ACH-000247,OCUM-1
OE19,OE19_OESOPHAGUS,ACH-000679,OE19
OE21,OE21_OESOPHAGUS,ACH-000544,OE21
OE33,OE33_OESOPHAGUS,ACH-000383,OE33
ONS-76,ONS76_CENTRAL_NERVOUS_SYSTEM,ACH-000776,ONS-76
OPM-2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000024,OPM-2
OS-RC-2,OSRC2_KIDNEY,ACH-000159,SR
OV-90,OV90_OVARY,ACH-000291,OV-90
OV56,OV56_OVARY,ACH-000091,OV-56
OV7,OV7_OVARY,ACH-000688,OV-7
OVCAR-4,OVCAR4_OVARY,ACH-000617,OVCAR-4
OVCAR-8,OVCAR8_OVARY,ACH-000696,OVCAR-8
OVISE,OVISE_OVARY,ACH-000527,OVISE
OVK18,OVK18_OVARY,ACH-000947,OVK-18
OVTOKO,OVTOKO_OVARY,ACH-000663,OVTOKO
P12-ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000372,P12-ICHIKAWA
PA-TU-8902,PATU8902_PANCREAS,ACH-000599,PA-TU-8902
PA-TU-8988T,PATU8988T_PANCREAS,ACH-000023,PA-TU-8988T
PC-3,PC3_PROSTATE,ACH-000090,PC-3
PF-382,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000937,PF-382
PSN1,PSN1_PANCREAS,ACH-000320,PSN1
Panc 02.03,PANC0203_PANCREAS,ACH-000042,PANC-02-03
Panc 03.27,PANC0327_PANCREAS,ACH-000139,PANC-03-27
Panc 04.03,PANC0403_PANCREAS,ACH-000235,PANC-04-03
Panc 08.13,PANC0813_PANCREAS,ACH-000417,PANC-08-13
Panc 10.05,PANC1005_PANCREAS,ACH-000060,PANC-10-05
QGP-1,QGP1_PANCREAS,ACH-000347,QGP-1
RCC10RGB,RCC10RGB_KIDNEY,ACH-000189,RCC10RGB
RCH-ACV,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000922,RCH-ACV
RD,RD_SOFT_TISSUE,ACH-000169,RD
RERF-GC-1B,RERFGC1B_STOMACH,ACH-000144,RERF-GC-1B
RERF-LC-MS,RERFLCMS_LUNG,ACH-000062,RERF-LC-MS
RKN,RKN_SOFT_TISSUE,ACH-000505,RKN
RKO,RKO_LARGE_INTESTINE,ACH-000943,RKO
